Time(sec),Vehicle_ID,Vehicle_Type,Violation_Type,Speed(km/h)
28.97,5,car,Illegal Parking,0.0
29.0,9,car,Illegal Parking,0.0
29.0,5,car,Illegal Parking,5.4
29.03,9,car,Illegal Parking,0.0
29.03,5,car,Illegal Parking,0.0
29.07,9,car,Illegal Parking,0.0
29.07,5,car,Illegal Parking,0.0
29.1,9,car,Illegal Parking,0.0
29.1,5,car,Illegal Parking,0.0
29.13,9,car,Illegal Parking,5.4
29.13,5,car,Illegal Parking,5.4
29.17,9,car,Illegal Parking,0.0
29.17,5,car,Illegal Parking,5.4
29.2,9,car,Illegal Parking,5.4
29.2,5,car,Illegal Parking,5.4
29.23,9,car,Illegal Parking,5.4
29.23,5,car,Illegal Parking,7.64
29.27,9,car,Illegal Parking,0.0
29.27,5,car,Illegal Parking,5.4
29.3,9,car,Illegal Parking,0.0
29.3,5,car,Illegal Parking,5.4
29.3,395,car,Over-Speeding,119.29
29.33,9,car,Illegal Parking,0.0
29.33,5,car,Illegal Parking,7.64
29.37,9,car,Illegal Parking,5.4
29.37,5,car,Illegal Parking,5.4
29.4,9,car,Illegal Parking,0.0
29.4,5,car,Illegal Parking,0.0
29.43,9,car,Illegal Parking,0.0
29.43,5,car,Illegal Parking,0.0
29.47,9,car,Illegal Parking,0.0
29.47,5,car,Illegal Parking,0.0
29.5,9,car,Illegal Parking,5.4
29.5,5,car,Illegal Parking,5.4
29.53,9,car,Illegal Parking,0.0
29.53,5,car,Illegal Parking,5.4
29.57,9,car,Illegal Parking,0.0
29.57,5,car,Illegal Parking,0.0
29.6,9,car,Illegal Parking,7.64
29.6,5,car,Illegal Parking,5.4
29.6,395,truck,Over-Speeding,189.31
29.63,9,car,Illegal Parking,0.0
29.63,5,car,Illegal Parking,0.0
29.67,9,car,Illegal Parking,5.4
29.67,5,car,Illegal Parking,5.4
29.7,9,car,Illegal Parking,0.0
29.7,5,car,Illegal Parking,7.64
29.73,9,car,Illegal Parking,5.4
29.73,5,car,Illegal Parking,5.4
29.77,9,car,Illegal Parking,0.0
29.77,5,car,Illegal Parking,0.0
29.8,9,car,Illegal Parking,5.4
29.8,5,car,Illegal Parking,0.0
29.83,9,car,Illegal Parking,5.4
29.83,5,car,Illegal Parking,5.4
29.87,9,car,Illegal Parking,5.4
29.87,5,car,Illegal Parking,5.4
29.9,9,car,Illegal Parking,5.4
29.9,5,car,Illegal Parking,0.0
29.93,9,car,Illegal Parking,0.0
29.93,5,car,Illegal Parking,7.64
29.97,9,car,Illegal Parking,0.0
29.97,5,car,Illegal Parking,0.0
30.0,9,car,Illegal Parking,5.4
30.0,5,car,Illegal Parking,5.4
30.0,490,motorcycle,Over-Speeding,184.31
30.03,9,car,Illegal Parking,5.4
30.03,5,car,Illegal Parking,0.0
30.07,9,car,Illegal Parking,0.0
30.07,5,car,Illegal Parking,0.0
30.1,9,car,Illegal Parking,7.64
30.1,5,car,Illegal Parking,0.0
30.13,9,car,Illegal Parking,0.0
30.13,5,car,Illegal Parking,0.0
30.17,9,car,Illegal Parking,7.64
30.17,5,car,Illegal Parking,5.4
30.17,490,motorcycle,Over-Speeding,121.83
30.2,9,car,Illegal Parking,5.4
30.2,5,car,Illegal Parking,0.0
30.23,9,car,Illegal Parking,0.0
30.23,5,car,Illegal Parking,0.0
30.23,484,car,Over-Speeding,90.52
30.27,9,car,Illegal Parking,0.0
30.27,5,car,Illegal Parking,0.0
30.27,395,truck,Over-Speeding,172.88
30.3,9,car,Illegal Parking,0.0
30.3,5,car,Illegal Parking,0.0
30.33,9,car,Illegal Parking,0.0
30.33,5,car,Illegal Parking,0.0
30.37,9,car,Illegal Parking,0.0
30.37,5,car,Illegal Parking,0.0
30.4,9,car,Illegal Parking,0.0
30.4,5,car,Illegal Parking,0.0
30.43,9,car,Illegal Parking,0.0
30.43,5,car,Illegal Parking,0.0
30.47,9,car,Illegal Parking,0.0
30.47,5,car,Illegal Parking,7.64
30.5,9,car,Illegal Parking,0.0
30.5,5,car,Illegal Parking,7.64
30.53,9,car,Illegal Parking,0.0
30.53,5,car,Illegal Parking,0.0
30.57,9,car,Illegal Parking,5.4
30.57,5,car,Illegal Parking,5.4
30.6,9,car,Illegal Parking,7.64
30.6,5,car,Illegal Parking,0.0
30.63,9,car,Illegal Parking,0.0
30.63,5,car,Illegal Parking,0.0
30.67,9,car,Illegal Parking,5.4
